Time,BLOCK1:ZONE3 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE3 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 1:Des Heat Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 2:Des Heat Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,8.363856E+04,1.549368E+07,1.756557E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.974530E-02,9.564803E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456203E-01,2.721418E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235556E+00,1.684991E+05,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,2.767673E+03,1.233765E+05,1.305739E+05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.971403E-02,9.554746E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456090E-01,2.721382E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235528E+00,1.684982E+05,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,2.325848E+04,1.053934E+05,1.116884E+05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.971787E-02,9.555981E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456106E-01,2.721387E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235531E+00,1.684983E+05,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,8.804263E+04,4.323771E+04,4.636030E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.972159E-02,9.557179E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456121E-01,2.721392E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235534E+00,1.684984E+05,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,9.114484E+04,1.697244E+07,2.721402E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.972521E-02,9.558342E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456135E-01,2.721396E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235537E+00,1.684985E+05,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,2.420216E+04,7.622190E+06,9.494893E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.972872E-02,9.559471E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456149E-01,2.721401E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235540E+00,1.684986E+05,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,0.000000E+00,0.000000E+00,6.028241E+04,8.169580E+06,8.491648E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.973213E-02,9.560568E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456162E-01,2.721405E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235543E+00,1.684987E+05,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,0.000000E+00,0.000000E+00,8.069199E+04,1.637985E+07,2.801456E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.973544E-02,9.561633E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456175E-01,2.721409E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.235546E+00,1.684988E+05,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,0.000000E+00,0.000000E+00,5.666111E+04,1.994202E+07,2.431883E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.220433E-03,7.484058E+01,1.437318E+02,2.973866E-02,9.562668E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456187E-01,2.721413E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.018355E-03,3.682724E+01,7.041327E+01,5.235549E+00,1.684989E+05,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,0.000000E+00,0.000000E+00,6.028499E+04,2.001830E+07,2.432589E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.777536E-02,2.326339E+02,4.099765E+02,2.974179E-02,9.563673E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456198E-01,2.721417E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.932088E-02,2.534365E+02,4.143104E+02,5.235552E+00,1.684990E+05,0.000000E+00,0.000000E+00,0.000000E+00
11:00:00,0.000000E+00,0.000000E+00,8.935715E+04,2.740999E+07,3.200629E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.839930E-02,3.764348E+02,6.216398E+02,2.974483E-02,9.564651E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456210E-01,2.721420E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.716143E-02,6.252792E+02,8.616445E+02,5.235554E+00,1.684991E+05,0.000000E+00,0.000000E+00,0.000000E+00
12:00:00,0.000000E+00,0.000000E+00,1.466781E+05,4.178962E+07,4.924232E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.836454E-02,5.088216E+02,7.888043E+02,2.974778E-02,9.565600E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.456220E-01,2.721424E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.618480E-02,1.010427E+03,1.198014E+03